充電器グループID,施設ID,施設名,モデル,カテゴリー,利用月,日数,台数,稼働開始日,稼働終了日(手動),稼働時間(分),利用人数,利用回数,稼働率,1人あたりの利用分数,1回あたりの利用分数,平均利用頻度,ブランド,運営会社
12,15,フォレストサンズ長瀞,普通,目的地,2026-5月,31.0,1.0,2023/06/23,,0.0,0,0,0.0,0.0,0.0,0.0,,株式会社プラゴ
12,15,フォレストサンズ長瀞,普通,目的地,2026-6月,30.0,1.0,2023/06/23,,0.0,0,0,0.0,0.0,0.0,0.0,,株式会社プラゴ
15,20,郷土資料館・旧新井家住宅,普通,目的地,2023-6月,30.0,1.0,2023/06/20,,0.0,0,0,0.0,0.0,0.0,0.0,,株式会社プラゴ
15,20,郷土資料館・旧新井家住宅,普通,目的地,2023-7月,31.0,1.0,2023/06/20,,0.0,0,0,0.0,0.0,0.0,0.0,,株式会社プラゴ
15,20,郷土資料館・旧新井家住宅,普通,目的地,2023-8月,31.0,1.0,2023/06/20,,5.3833,1,1,0.0121,5.3833,5.3833,1.0,,株式会社プラゴ
15,20,郷土資料館・旧新井家住宅,普通,目的地,2023-9月,30.0,1.0,2023/06/20,,0.0,0,0,0.0,0.0,0.0,0.0,,株式会社プラゴ
15,20,郷土資料館・旧新井家住宅,普通,目的地,2023-10月,31.0,1.0,2023/06/20,,93.5333,1,1,0.2095,93.5333,93.5333,1.0,,株式会社プラゴ
15,20,郷土資料館・旧新井家住宅,普通,目的地,2023-11月,30.0,1.0,2023/06/20,,0.0,0,0,0.0,0.0,0.0,0.0,,株式会社プラゴ
15,20,郷土資料館・旧新井家住宅,普通,目的地,2023-12月,31.0,1.0,2023/06/20,,0.0,0,0,0.0,0.0,0.0,0.0,,株式会社プラゴ
15,20,郷土資料館・旧新井家住宅,普通,目的地,2024-1月,31.0,1.0,2023/06/20,,0.0,0,0,0.0,0.0,0.0,0.0,,株式会社プラゴ
15,20,郷土資料館・旧新井家住宅,普通,目的地,2024-2月,29.0,1.0,2023/06/20,,0.0,0,0,0.0,0.0,0.0,0.0,,株式会社プラゴ
15,20,郷土資料館・旧新井家住宅,普通,目的地,2024-3月,31.0,1.0,2023/06/20,,0.0,0,0,0.0,0.0,0.0,0.0,,株式会社プラゴ
15,20,郷土資料館・旧新井家住宅,普通,目的地,2024-4月,30.0,1.0,2023/06/20,,0.0,0,0,0.0,0.0,0.0,0.0,,株式会社プラゴ
15,20,郷土資料館・旧新井家住宅,普通,目的地,2024-5月,31.0,1.0,2023/06/20,,417.6667,2,2,0.9356,208.8333,208.8333,1.0,,株式会社プラゴ
15,20,郷土資料館・旧新井家住宅,普通,目的地,2024-6月,30.0,1.0,2023/06/20,,0.0,0,0,0.0,0.0,0.0,0.0,,株式会社プラゴ
15,20,郷土資料館・旧新井家住宅,普通,目的地,2024-7月,31.0,1.0,2023/06/20,,133.05,0,1,0.2981,0.0,133.05,0.0,,株式会社プラゴ
15,20,郷土資料館・旧新井家住宅,普通,目的地,2024-8月,31.0,1.0,2023/06/20,,0.0,0,0,0.0,0.0,0.0,0.0,,株式会社プラゴ
15,20,郷土資料館・旧新井家住宅,普通,目的地,2024-9月,30.0,1.0,2023/06/20,,0.0,0,0,0.0,0.0,0.0,0.0,,株式会社プラゴ
15,20,郷土資料館・旧新井家住宅,普通,目的地,2024-10月,31.0,1.0,2023/06/20,,38.0167,1,2,0.0852,38.0167,19.0083,2.0,,株式会社プラゴ
15,20,郷土資料館・旧新井家住宅,普通,目的地,2024-11月,30.0,1.0,2023/06/20,,327.55,2,2,0.7582,163.775,163.775,1.0,,株式会社プラゴ
15,20,郷土資料館・旧新井家住宅,普通,目的地,2024-12月,31.0,1.0,2023/06/20,,0.0,0,0,0.0,0.0,0.0,0.0,,株式会社プラゴ
